Data comes from State of Indiana Survey (State Survey) and EPA's Safe Drinking Water Information System (SDWIS).,,,,,,,,,,
Water System,Responded to State Survey?,# with Lead Service Line,% with Lead Service Line,Data Source,Full Address,Latitude,Longitude,SDWIS Total # of Service Connections,SDWIS LCR 90th Percentile Sample (ppm),SDWIS PWS ID
Ladoga Water Works,No,No response,Unknown,Unknown,"121 East Main Street P.O. Box 187, Ladoga, IN 47954",39.913369,-86.80026,445,Unknown,IN5254006
Lafayette Water Works,Yes,2900,10.48%,Estimated,"1020 Canal Road, Lafayette, IN 47904",40.426951,-86.892773,27667,0.002,IN5279013
Lafontaine Water Company,Yes,75,18.94%,Estimated,"13 West Branson Street P.O. Box 207, Lafontaine, IN 46940",40.673231,-85.720466,396,Unknown,IN5285004
Lagrange Department Of Water Works,No,No response,Unknown,Unknown,"1201 North Townline Road, Lagrange, IN 46761",41.656572,-85.425944,1287,Unknown,IN5244003
Lagro Municipal Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 305, Lagro, IN 46941",40.8381,-85.730261,224,0.036,IN5285005
Lake Cicott Shores,Yes,0,0%,Unknown,"8538 W Us 24, Logansport, IN 46947 ",40.766384,-86.535308,31,Unknown,IN5209005
Lake Estates Manufactured Home Community,Yes,0,0%,Recorded,"1 EMS B-37 Lane Clubhouse, Warsaw, IN 46582",41.289766,-85.734807,124,Unknown,IN5243010
Lake Santee Rwwd,No,No response,Unknown,Unknown,"13 SW Wrenn Parkway, Greensburg, IN 47240-7800",39.398301,-85.306294,554,Unknown,IN5216003
Lake Station Water Department,Yes,18,0.55%,Estimated,"2898 Union Street, Lake Station, IN 46405",41.565753,-87.232014,3267,0.0016,IN5245027
Lake View Mobile Home Park,No,No response,Unknown,Unknown,"5219 East 500 North Lot 23, Leesburg, IN 46538",41.307427,-85.744422,23,Unknown,IN5243053
Lake View Mobile Home Park,Yes,No response,Unknown,Unknown,"5866 W 200 S, Wabash, IN 46992",40.796796,-85.900755,27,Unknown,IN5285006
Lakeland Manor Mobile Home Park,Yes,0,0%,Unknown,"P.O. Box 444, Auburn, IN 46706",41.365989,-85.057462,30,Unknown,IN5257022
Lakeshore Subdivision Association Inc,No,No response,Unknown,Unknown,"P.O. Box 606, Cedar Lake, IN 46303",41.376859,-87.453156,98,Unknown,IN5245053
Lakeside Management,No,No response,Unknown,Unknown,"3756 North Clubhouse Road, Rensselaer, IN 47978",41.066621,-87.134078,38,Unknown,IN5237016
Lakeside Manor Mobile Home Park,Yes,0,0%,Unknown,"196 McClung Rd, La Porte, IN 46350",41.632892,-86.738173,93,Unknown,IN5244002
Lakeville Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 137 118 South Michigan Street, Lakeville, IN 46536",41.523739,-86.274102,320,Unknown,IN5271008
Lakewood Mobile Home Ct - Lots 156-187,No,No response,Unknown,Unknown,"195 Ln 101 Barton Lake, Fremont, IN 46737",41.753538,-85.056751,30,Unknown,IN5276004
Lamplighter Estates - Lots 19-37,No,No response,Unknown,Unknown,"3837 West Landis Road, Angola, IN 46703",41.666985,-85.064246,19,Unknown,IN5276012
Lanesville Water Works,Yes,0,0%,Estimated,"P.O. Box 6, Lanesville, IN 47136-0006",38.237013,-85.985801,407,Unknown,IN5231003
Lapel Municipal Water Company,No,No response,Unknown,Unknown,"P.O. Box 999, Lapel, IN 46051",40.068373,-85.848313,864,Unknown,IN5248013
Laporte Water Works,Yes,5825,72.05%,Estimated,"1119 Lake Street, Laporte, IN 46350",41.611671,-86.72981,8085,0.0035,IN5246017
Laurel Water Department,Yes,0,0%,Recorded,"P.O. Box 232, Laurel, IN 47024",39.500662,-85.185752,271,Unknown,IN5224004
Lawrenceburg Municipal Utilities,Yes,25,1.47%,Estimated,"P.O. Box 4198, Lawrenceburg, IN 47025",39.090891,-84.84995,1700,0.0065,IN5215006
Lazy Oaks,No,No response,Unknown,Unknown,"9241 Blaine Street, Crown Point, IN 46307",41.450276,-87.426135,21,Unknown,IN5291008
Leavenworth Water Company,No,No response,Unknown,Unknown,"P.O. Box 7, Leavenworth, IN 47137",38.199787,-86.344144,201,Unknown,IN5213004
Lebanon Utilities,No,No response,Unknown,Unknown,"401 South Meridian Street, Lebanon, IN 46052",40.044464,-86.467506,6449,Unknown,IN5206003
Leisure Acres Mobile Home Park,No,No response,Unknown,Unknown,"4955 West Wright Avenue, West Terre Haute, IN 47885",39.553023,-87.494248,30,Unknown,IN5284019
Leisure Lakes Mobile Home Court,Yes,No response,Unknown,Unknown,"2384 North 200 West, Angola, IN 46703",41.67623,-85.028681,19,Unknown,IN5276025
Leisure Lane Mobile Home Park,No,No response,Unknown,Unknown,"106 East 1st Street P.O. Box 281, North Webster, IN 46555",33.003635,-93.460552,20,Unknown,IN5257026
Len-Del Mobile Home Court,No,No response,Unknown,Unknown,"14138 Milton Road, Milton, IN 47357",39.7886,-85.142925,45,Unknown,IN5289009
Lewisville Water Works,Yes,No response,Unknown,Unknown,"104 US-40, Lewisville, IN 47352",39.807019,-85.352445,199,Unknown,IN5233006
Liberty Farms Mobile Home Park,No,No response,Unknown,Unknown,"76 East U.S. Highway 6, Valparaiso, IN 46383",41.550075,-87.051274,222,Unknown,IN5264017
Liberty Mobile Home Park,No,No response,Unknown,Unknown,"P.O. Box 212, Fairmount, IN 46928",40.414636,-85.650886,36,Unknown,IN5227007
Liberty Water,No,No response,Unknown,Unknown,"1092 South Center Street, Plainfield, IN 46168-9307",39.689698,-86.390064,161,Unknown,IN5232030
Liberty Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 7, Liberty, IN 47353",39.635605,-84.931071,1160,Unknown,IN5281001
Ligonier Water Works,Yes,No response,Unknown,Unknown,"510 Water Street, Ligonier, IN 46767",41.470331,-85.586855,1306,0.0078,IN5257010
Linda Ann Mobile Home Park,Yes,No response,Unknown,Unknown,"2382 North 200 West, Angola, IN 46703",41.676229,-85.028681,16,0.17,IN5276024
Linden Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 352, Linden, IN 47955",40.188094,-86.903896,347,Unknown,IN5254007
Linton Municipal Water Utility,No,No response,Unknown,Unknown,"86 South Main Street, Linton, IN 47441",39.03308,-87.166557,3218,Unknown,IN5228005
Little Eagle Creek Estates,No,No response,Unknown,Unknown,"17640 Eagletown Road, Westfield IN 46074",40.042912,-86.194655,25,Unknown,IN5229017
L-M-S Conservancy District,Yes,0,0%,Unknown,"1406 Sunnyside Avenue, Aurora, IN 47001-1742",39.086717,-84.916896,2046,0.0028,IN5215007
Logansport Municipal Utility-Well Field,Yes,No response,Unknown,Unknown,"601 East Broadway #101, Logansport, IN 46947",40.754233,-86.362541,7330,0.014,IN5209012
Long Beach Water Department,Yes,100,8.85%,Estimated,"2400 Oriole Trail, Long Beach, IN 46360",41.745909,-86.85079,1130,Unknown,IN5246028
Loogootee Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 276, Loogootee, IN 47553",38.676995,-86.91417,1450,0.0003,IN5251005
Lowell Water Department,Yes,146,4.10%,Estimated,"P.O. Box 157, Lowell, IN 46356",41.291424,-87.42059,3560,0.0053,IN5245029
Lyford Water Works,No,No response,Unknown,Unknown,"6826 West Parkewood Road, Rosedale, IN 47874",39.643028,-87.367639,360,Unknown,IN5261002
Lynn Hill Court & Charles Manor,No,No response,Unknown,Unknown,"East Lynn View Drive, Monticello, IN 47960",40.837294,-86.782426,41,Unknown,IN5291009
Lynn Water Company,No,No response,Unknown,Unknown,"P.O. Box 65, Lynn, IN 47355",40.049769,-84.939685,509,Unknown,IN5268004
Lynnville Water Works,No,No response,Unknown,Unknown,"Town Hall 312 Church St. P.O. Box 99, Lynville, IN 47619-0099",38.196159,-87.296675,450,Unknown,IN5287006
Lyons Water Utility,No,No response,Unknown,Unknown,"P.O. Box 267, Lyons, IN 47443-0267",38.972191,-87.082404,470,Unknown,IN5228006
Madison State Hospital,Yes,0,0%,Recorded,"711 Green Rd, Madison, IN 47250",38.761359,-85.401483,50,Unknown,IN5239005
Madison Water Department,Yes,75,1.30%,Estimated,"101 West Main Street, Madison, IN 47250",38.736094,-85.380426,5771,0.0075,IN5239006
Mallards Pointe Water System,No,No response,Unknown,Unknown,"2505 Chicago Street Suite 4, Valparaiso, IN 46385",41.472465,-87.029705,51,Unknown,IN5264041
Maple Lane Village Mobile Home Park,Yes,No response,Unknown,Unknown,"2808 US-35, Logansport, IN 46947",40.72847,-86.290949,86,0.0194,IN5209004
Maple Lawn Village,No,No response,Unknown,Unknown,"12948 S. US 31 Lot 51, Kokomo, IN 46901",40.578382,-86.129431,110,Unknown,IN5252013
Maple Leaf Mobile Home Park,No,No response,Unknown,Unknown,"1863 Lilac Road, Plymouth, IN 46563",41.451709,-86.286356,30,Unknown,IN5250008
Mapleturn Utilities Inc,No,No response,Unknown,Unknown,"2001 East Mapleturn Road, Martinsville, IN 46151",39.476014,-86.393395,615,Unknown,IN5255004
Marion City Water Works,No,No response,Unknown,Unknown,"305 East Bond Avenue, Marion, IN 46952",40.579127,-85.658449,10685,Unknown,IN5227014
Markle Water Utility,No,No response,Unknown,Unknown,"155 West Sparks Street P.O. Box 367, Markle, IN 46770-0367",40.825755,-85.339021,465,Unknown,IN5235006
Marshall Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 204, Marshall, IN 47859",39.847369,-87.187181,153,0.131,IN5261003
Martinsville Water Utility,Yes,1200,24.58%,Estimated,"P.O. Box 1415, Martinsville, IN 46151",39.427825,-86.428328,4882,0.0017,IN5255009
Marysville Otisco Nabb Water Corp,No,No response,Unknown,Unknown,"P.O. Box 86, Otisco, IN 47163-0086",38.540475,-85.668498,2300,Unknown,IN5210006
Maysville Region Water & Sewer District,No,No response,Unknown,Unknown,"P.O. Box 413, Harlan, IN 46743-0413",41.195998,-84.919682,476,Unknown,IN5202037
Meadow Acres Mobile Home Park,Yes,0,0%,Recorded,"52387 County Road 113, Elkhart, IN 46514",41.730405,-85.913703,51,Unknown,IN5243012
Mecks Whispering Pines Inc,Yes,No response,Unknown,Unknown,"340 East Levi Lee Road #98, Warsaw, IN 46580",41.297778,-85.839274,221,Unknown,IN5243033
Medaryville Water Company,No,No response,Unknown,Unknown,"409 East Main Street Box 10, Medaryville, IN 47957",41.080515,-86.888483,249,Unknown,IN5266003
Medora Water Department,Yes,0,0%,Recorded,"P.O. Box 247, Medora, IN 47260",38.824844,-86.170016,369,Unknown,IN5236004
Mentone Water Company,No,No response,Unknown,Unknown,"P.O. Box 562, Mentone, IN 46539-0562",41.173377,-86.034719,400,Unknown,IN5243013
Merrywood Mobile Home Park,Yes,0,0%,Estimated,"3104 Wooster Rd, Pierceton, IN 46562",41.219641,-85.782231,78,Unknown,IN5243014
Miami Village Mobile Home Park,No,No response,Unknown,Unknown,"4614 East Old Trail Road Lot 48, Columbia City, IN 46725",41.163114,-85.404366,94,Unknown,IN5292006
Michigan City Department Of Water Works,No,No response,Unknown,Unknown,"P.O. Box 888, Michigan City, IN 46361",41.709999,-86.899999,13650,Unknown,IN5246020
Middlebury Water Department,Yes,115,8.85%,Estimated,"P.O. Box 812, Middlebury, IN 46540",41.675328,-85.706101,1300,0.0019,IN5220014
Middletown Water Utility,Yes,50,5.07%,Estimated,"209 South 8th Street, Middletown, IN 47356",40.051829,-85.536887,986,Unknown,IN5233008
Mid-Lakes Mobile Home Park,Yes,No response,Unknown,Unknown,"100 Lane 201 A Lake George, Fremont, IN 46737",41.749208,-85.005742,49,Unknown,IN5243015
Milan Water Works,Yes,0,0%,Unknown,"P.O. Box 86 211 West Carr, Milan, IN 47031-0086",39.12281,-85.132765,704,Unknown,IN5269003
Milford Water Department,Yes,0,0%,Unknown,"P.O. Box 300, Milford, IN 46542-0300",41.385574,-85.787366,630,Unknown,IN5243017
Mill Road Estates,Yes,0,0%,Recorded,"4570 North 450 East, Craigville, IN 46731",40.80936,-85.139797,78,Unknown,IN5202010
Millersburg Water Company,Yes,71,19.56%,Estimated,"P.O. Box 278, Millersburg, IN 46543",41.527827,-85.694433,363,Unknown,IN5220015
Millwood Acres Inc,No,No response,Unknown,Unknown,"9462 N SR #19, Etna Green IN 46524",41.27892,-86.046872,42,Unknown,IN5243016
Milton Water Works,Yes,215,83.33%,Estimated,"P.O. Box 398, Milton, IN 47357",39.788102,-85.155242,258,Unknown,IN5289011
Mishawaka Utilities,Yes,4602,26.36%,Recorded,"P.O. Box 363 126 North Church Street, Mishawaka, IN 46546-0363",41.661914,-86.178971,17457,0.011,IN5271009
Mitchell Water Department,Yes,1600,80.00%,Unknown,"407 South 6th Street, Mitchell, IN 47446",38.730163,-86.471057,2000,0,IN5247003
Mobil-Rama,Yes,No response,Unknown,Unknown,"2380 North 200 West, Angola, IN 46703",41.677485,-85.02819,19,Unknown,IN5276013
Modernaire Trailer Court,Yes,No response,Unknown,Unknown,"777 Cor Dale Road, Lafayette, IN 47904",40.447112,-86.882812,15,Unknown,IN5279014
Monon Water Utility,Yes,No response,Unknown,Unknown,"422 North Market Box 657, Monon, IN 47959",40.863703,-86.879463,700,Unknown,IN5291010
Monroe City Water Utilities,Yes,0,0%,Unknown,"P.O. Box 163, Monroe City, IN 47557",38.615326,-87.354461,325,Unknown,IN5242008
Monroe Water Department,Yes,0,0%,Unknown,"126 E Washington St, Monroe, IN 46772",40.744838,-84.937752,360,Unknown,IN5201004
Monroeville Water Works,No,No response,Unknown,Unknown,"P.O. Box 401, Monroeville, IN 46773",40.974771,-84.868297,400,Unknown,IN5202008
Montezuma Municipal Utility,Yes,0,0%,Estimated and Recorded,"P.O. Box 37, Montezuma, IN 47862-0037",39.792816,-87.37085,479,Unknown,IN5261005
Montgomery Water Works,Yes,0,0%,Estimated,"P.O. Box 146, Montgomery, IN 47558",38.662549,-87.046118,368,Unknown,IN5214004
Monticello Water Works,No,No response,Unknown,Unknown,"225 North Main Street, Monticello, IN 47960",40.742743,-86.761598,2520,Unknown,IN5291011
Montpelier Water Works,Yes,No response,Unknown,Unknown,"644 West Monroe Street, Montpelier, IN 47359",40.552838,-85.286854,662,Unknown,IN5205004
Morgan County Rural Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 1575, Martinsville, IN 46151",39.427825,-86.428328,3000,0.0076,IN5255010
Morgantown Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 416, Morgantown, IN 46160",39.371437,-86.261102,417,Unknown,IN5255011
Morocco Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 366, Morocco, IN 47963",40.946146,-87.453363,542,Unknown,IN5256006
Morris Mobile Home Estates,Yes,0,0%,Unknown,"2550 North 6th Lot 12, Terre Haute, IN 47804",39.498116,-87.410626,34,Unknown,IN5284029
Morristown Water Department,No,No response,Unknown,Unknown,"418 West Main Street, Morristown, IN 46161",39.675493,-85.705051,525,Unknown,IN5273003
Mount Summit Water Utility,No,No response,Unknown,Unknown,"P.O. Box 220, Mt. Summit, IN 47361",40.004398,-85.386597,168,Unknown,IN5233009
Mount Vernon Water Works,Yes,No response,Unknown,Unknown,"809 Davis Drive, Mount Vernon, IN 47620",37.943293,-87.890278,3264,0.0021,IN5265006
Mulberry Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 250, Mulberry, IN 46058-0250",40.34448,-86.665282,510,Unknown,IN5212005
Munster Water Company,Yes,No response,Unknown,Unknown,"1005 Ridge Road Town Hall, Munster, IN 46321",41.561814,-87.503899,8380,0.0075,IN5245031
Muscatatuck Urban Training Center,Yes,0,0%,Unknown,"P.O. Box 77, Butlerville, IN 47223",39.034053,-85.512781,19,Unknown,IN5240007
Napoleon Community Rural Water Corp,Yes,0,0%,Unknown,"P.O. Box 107, Napoleon, IN 47034",39.205241,-85.330804,1515,0.001,IN5269007
Nappanee Water Utility,Yes,1,0.04%,Recorded,"P.O. Box 29, Nappanee, IN 46550",41.442891,-85.999728,2650,0.002,IN5220016
Nashville Water Department,Yes,0,0%,Unknown,"P.O. Box 446, Nashville, IN 47448",39.20725,-86.246954,1326,0.0125,IN5207002
Natural Public Supply Inc,Yes,0,0%,Recorded,"101 North Poplar Street, Seymour, IN 47274",38.9579,-85.893291,620,Unknown,IN5236009
Naval Support Activity Crane,Yes,No response,Unknown,Estimated,"Bldg 3245 Code PRX42 Navfac 300 Hwy 361, Crane, IN 47522-5001",38.876211,-86.899792,500,0.0081,IN5251003
New Carlisle Water Works,Yes,342,39.77%,Estimated and Recorded,"31061 Edison Road, New Carlisle, IN 46552-0006",41.693873,-86.468711,860,Unknown,IN5271011
New Castle Correctional Facility,Yes,0,0%,Unknown,"1000 Van Nuys Rd, New Castle, IN 47362",39.964883,-85.37203,10,Unknown,IN5233001
New Castle Utilities,Yes,1252,14.73%,Unknown,"415 Broad Street, New Castle, IN 47362",39.931045,-85.379726,8500,0.0251,IN5233011
New Chicago Water Works,Yes,No response,Unknown,Unknown,"122 Huber Boulevard, Hobart, IN 46342",41.55854,-87.275935,2236,0.005,IN5245032
New Durham Estates,Yes,0,0%,Unknown,"1 New Durham Mall Avenue, Westville, IN 46391",41.561374,-86.897638,412,Unknown,IN5246032
New Harmony Water Utility,Yes,10,1.53%,Estimated,"820 Steam Mill Street, New Harmony, IN 47631",38.12841,-87.929133,653,Unknown,IN5265007
New Haven Water Department,Yes,247,4.85%,Estimated,"P.O. Box 570, New Haven, IN 46774",41.070604,-85.014412,5089,0.006,IN5202009
New Market Water Works,No,No response,Unknown,Unknown,"P.O. Box 311, New Market, IN 47965",39.95391,-86.919212,283,Unknown,IN5254008
New Pekin Water Utility,No,No response,Unknown,Unknown,"P.O. Box 310, Pekin, IN 47165",38.50506,-86.016919,745,Unknown,IN5288004
New Richmond Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 210, New Richmond, IN 47967",40.177966,-86.992436,155,Unknown,IN5254009
Newberry Water Utility,Yes,0,0%,Estimated,"P.O. Box 238, Switz City, IN 47465",39.035,-87.053,90,Unknown,IN5228007
Newport Chemical Depot,Yes,0,0%,Estimated,"1051 West Indiana Avenue, Hillsdale, IN 47854",39.834192,-87.43122,46,0.068,IN5283014
Newport Water Works,No,No response,Unknown,Unknown,"P.O. Box 55, Newport, IN 47966",39.886814,-87.404636,272,Unknown,IN5283008
Newton Co Assoc D/B/A Ten Oaks Mobile Home Park,No,No response,Unknown,Unknown,"2103 IN-10, Lake Village, IN 46349",41.143196,-87.350762,108,Unknown,IN5256008
Newton Co Regional Water & Sewer,Yes,0,0%,Unknown,"4117 South 240 West, Morocco, IN 47963",40.947688,-87.460298,3,0.02,IN5256009
Noble Oaks Subdivision Water Association,No,No response,Unknown,Unknown,"141st Ct, Cedar Lake IN, 46303",41.361273,-87.441052,28,Unknown,IN5245054
North Dearborn Water Corporation,Yes,0,0%,Unknown,"7484 Christina Drive Suite 103, West Harrison, IN 47060",39.280477,-84.95806,2086,0.0008,IN5215008
North Judson Water Company,Yes,23,2.65%,Estimated,"310 Lane Street, North Judson, IN 46366",41.217237,-86.775165,869,Unknown,IN5275003
North Lawrence Water Authority,Yes,No response,Unknown,Unknown,"P.O. Box 277, Bedford, IN 47421",38.861162,-86.487215,4400,0.0066,IN5247004
North Liberty Water Works,No,No response,Unknown,Unknown,"P.O. Box 515, North Liberty, IN 46554",41.534867,-86.429889,708,Unknown,IN5271010
North Manchester Water Department,Yes,700,27.99%,Estimated,"407 East Main Street, North Manchester, IN 46962",40.998836,-85.765223,2501,0.008,IN5285009
North Pointe I & II Apartments,Yes,0,0%,Recorded,"124 West Pleasant Street, Etna Green, IN 46524",41.280525,-86.047842,48,Unknown,IN5243058
North Salem Water Corporation,Yes,No response,Unknown,Unknown,"P.O. Box 417, North Salem, IN 46165",39.859767,-86.642504,228,Unknown,IN5232017
North Vernon Water Department,No,No response,Unknown,Unknown,"439 9th Street, North Vernon, IN 47265",39.009069,-85.618732,2346,Unknown,IN5240008
Northport Mobile Home Park,Yes,0,0%,Unknown,"1006 South Detroit Street, Lagrange, IN 46761",41.632894,-85.419472,21,Unknown,IN5257011
Northwest Jasper Regional Water District,Yes,No response,Unknown,Unknown,"13390 North 900 West, Demotte, IN 46310",41.209735,-87.219566,875,0.0057,IN5237015
Norwood Regional Water & Sewage,No,No response,Unknown,Unknown,"P.O. Box 430, Huntington, IN 46750",40.883101,-85.497476,190,Unknown,IN5235004
Oak Wood Circle,No,No response,Unknown,Unknown,"1106 North State Road 13, Pierceton, IN 46562",41.253249,-85.696607,24,Unknown,IN5243064
Oakland City Water Department,No,No response,Unknown,Unknown,"301 South Franklin Street, Oakland City, IN 47660",38.336425,-87.35164,1163,Unknown,IN5226005
Oakridge Estates,No,No response,Unknown,Unknown,"1201 County Rd 15, Elkhart, IN 46516",41.678025,-85.910068,121,Unknown,IN5201006
Oaktown Water Works,No,No response,Unknown,Unknown,"P.O. Box 554, Farmersburg, IN 47850",39.248651,-87.381963,325,Unknown,IN5242009
Oakwood Community Association Inc,No,No response,Unknown,Unknown,"P.O. Box 43, Monroe, IN 46772-0043",40.745047,-84.936911,67,Unknown,IN5201009
Oakwood Mobile Home Park,No,No response,Unknown,Unknown,"20379 Indianapolis Blvd, Lowell, IN 46356",41.249032,-87.467255,17,Unknown,IN5245034
Odon Water Utilities Inc,No,No response,Unknown,Unknown,"109 South Spring, Odon, IN 47562",38.842254,-86.991063,657,Unknown,IN5214005
Ogden Dunes Water,No,No response,Unknown,Unknown,"115 Hillcrest Road, Ogden Dunes, IN 46368",41.618236,-87.190112,630,Unknown,IN5264040
Oldenburg Water Works,Yes,0,0%,Estimated,"P.O. Box 116, Oldenburg, IN 47036",39.339773,-85.204406,341,Unknown,IN5224006
Oolitic Water Works,Yes,0,0%,Recorded,"P.O. Box 7, Oolitic, IN 47451",38.894928,-86.523987,472,Unknown,IN5247005
Or-An Trailer Court,No,No response,Unknown,Unknown,"P.O. Box 342, Waterloo, IN 46793",41.431995,-85.019967,31,Unknown,IN5276015
Orestes Water Works,No,No response,Unknown,Unknown,"P.O. Box 158, Orestes, IN 46063-0158",40.270728,-85.727882,175,Unknown,IN5248017
Orland Water Works,No,No response,Unknown,Unknown,"P.O. Box 445, Orland, IN 46776",41.730606,-85.171638,205,Unknown,IN5276027
Orleans Water Works,Yes,No response,Unknown,Unknown,"161 East Price Avenue, Orleans, IN 47452",38.663563,-86.451915,904,Unknown,IN5259003
Osgood Water Department,Yes,No response,Unknown,Unknown,"825 Tanglewood, Osgood, IN 47037",39.122998,-85.296732,756,Unknown,IN5269004
Ossian Municipal Water Department,Yes,0,0%,Estimated,"507 North Jefferson, Ossian, IN 46777",40.884263,-85.167298,1329,Unknown,IN5290002
Otterbein Water Department,Yes,563,99.65%,Unknown,"P.O. Box 215, Otterbein, IN 47970",40.490591,-87.096403,565,Unknown,IN5204004
Otwell Water Corporation,Yes,No response,Unknown,Unknown,"2201 IN-257, Otwell, IN 47564",38.455204,-87.093346,840,Unknown,IN5263001
Otwell Water Corporation #2,Yes,No response,Unknown,Unknown,"2203 IN-257, Otwell, IN 47564",38.455463,-87.093281,282,Unknown,IN5263007
Owensville Water Works,Yes,150,17.65%,Estimated,"P.O. Box 296 103 South Main Street, Owensville, IN 47665-0296",38.27226,-87.690989,850,Unknown,IN5226006
Oxford Water Utility,No,No response,Unknown,Unknown,"P.O. Box 54, Oxford, IN 47971-0054",40.519759,-87.247792,500,Unknown,IN5204005
Painted Hills Utility Company,No,No response,Unknown,Unknown,"P.O. Box 1581, Martinsville, IN 46151",39.426636,-86.428852,611,Unknown,IN5255012
Palmyra Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 332, Palmyra, IN 47164",38.40784,-86.109975,1535,0.002,IN5231004
Paoli Water Department,Yes,No response,Unknown,Estimated,"110 North Gospel, Paoli, IN 47454",38.556991,-86.468244,1655,0.005,IN5259004
Paragon Water Works,Yes,0,0%,Estimated,"Town Hall P.O. Box 66, Paragon, IN 46166",39.395044,-86.562915,351,Unknown,IN5255013
Parker City Water Department,Yes,0,0%,Estimated,"P.O. Box 38, Parker, IN 47368",40.178958,-85.199767,563,Unknown,IN5268007
Patoka Lake Regional Water,No,No response,Unknown,Unknown,"2647 North State Road 545, Dubois, IN 47527",38.479707,-86.858364,5079,Unknown,IN5219012
Patoka Water & Electric,Yes,No response,Unknown,Estimated,"P.O. Box 158, Patoka, IN 47666",38.406991,-87.585579,380,Unknown,IN5226007
Patoka Water Company Inc,Yes,0,0%,Unknown,"3361 West McWilliams School Road, Taswell, IN 47175",38.329567,-86.538699,415,Unknown,IN5213007
Patriot Water Department,Yes,3700,100.00%,Unknown,"P.O. Box 145 352 3rd Street, Patriot, IN 47038",38.837884,-84.826312,3500,0.005,IN5278001
Paxton Water Corporation,Yes,0,0%,Recorded,"4339 South County Road 100 East, Paxton, IN 47838",39.020102,-87.391789,634,Unknown,IN5277006
Pence Water Works,Yes,No response,Unknown,Unknown,"3118 North Jordan Street, Williamsport, IN 47993",40.361475,-87.510614,18,Unknown,IN5286002
Pendleton Water Company,Yes,No response,Unknown,Unknown,"P.O. Box 358, Pendleton, IN 46064",40.002265,-85.747017,1656,0.007,IN5248019
Pennville Water Company,Yes,No response,Unknown,Estimated,"105 North Washington P.O. Box 227, Pennville, IN 47369-0227",40.492583,-85.146871,284,Unknown,IN5238006
Perry Water System Inc,No,No response,Unknown,Unknown,"13291 Pineview Drive, Loogootee, IN 47553",38.737845,-86.919531,280,Unknown,IN5251006
Perrysville Water Works,No,No response,Unknown,Unknown,"P.O. BOX 525, Perrysville, IN 47974",40.051427,-87.433348,238,Unknown,IN5283009
Peru Utilities/Grissom,Yes,0,0%,Estimated,"337 East Canal St, Peru, IN 46970",40.755366,-86.056799,1060,0.0057,IN5252011
Peru Water Department,Yes,1116,23.04%,Estimated,"335 East Canal St.Peru, IN 46970",40.755619,-86.057084,4843,0.018,IN5252016
Petersburg Water Company,Yes,20,1.35%,Estimated,"704 Main Street, Petersburg, IN 47567",38.49129,-87.280208,1480,0.039,IN5263002
Philly Estates LLC,No,No response,Unknown,Unknown,"P.O. Box 71, Kentland, IN 47951",40.76885,-87.444563,98,Unknown,IN5230005
Pierceton Water Works,No,No response,Unknown,Unknown,"P.O. Box 496, Pierceton, IN 46562",41.200323,-85.705542,525,Unknown,IN5243018
Pike-Gibson Water Inc,Yes,600,18.14%,Estimated,"P.O. Box 126, Oakland City, IN 47660",38.338659,-87.345013,3308,0.0056,IN5263003
Pine Hill Manufactured Home Community,No,No response,Unknown,Unknown,"12515 Bonnie Ln, Middlebury, IN 46540",41.725091,-85.708183,125,Unknown,IN5220032
Pine Ridge,No,No response,Unknown,Unknown,"P.O. Box 1034, Westfield, IN 46074",40.02155,-86.195517,49,Unknown,IN5206004
Pinecrest/Stuckman Mobile Home Parks,Yes,No response,Unknown,Unknown,"3678 East 1300 North, Syracuse, IN 46567",41.42292,-85.774943,40,Unknown,IN5243019
Pines Mobile Home Park,Yes,19,95.00%,Unknown,"907 Wise Road, Cambridge City, IN 47327-9405",39.81786,-85.125462,20,Unknown,IN5289013
Pioneer Country Estates,No,No response,Unknown,Unknown,"P.O. Box 450, Millersburg, IN 46543",41.527827,-85.694433,32,Unknown,IN5244011
Pioneer Water LLC,Yes,0,0%,Recorded,"9601 Pioneer Trail, Leo, IN 46765",41.217269,-85.021817,450,Unknown,IN5202034
Pittsboro Water Company,Yes,0,0%,Estimated,"P.O. Box 185, Pittsboro, IN 46167",39.863783,-86.467901,1232,Unknown,IN5232019
Plainfield Water Works & Re-Entry Educational Facility,No,No response,Unknown,Unknown,"1090 South Center Street, Plainfield, IN 46168-9307",39.689679,-86.39014,7543,Unknown,IN5232020
Pleasant Acres Mobile Home Park,No,No response,Unknown,Unknown,"597 S Old State Road 13 # 18, Pierceton, IN 46562-9756 ",41.227558,-85.700458,24,Unknown,IN5243022
