Unnamed: 0,Water System,respondent,num_lsl,pct_lsl,data_source,full_addr,lat,long,tot_num_serv_connects_sdwis,LCR_90thpctile,SDWIS PWS ID,PWSID,sys_name,tot_num_serv_connects,tot_num_sl_w_lead,no_lead_serv_connects,Service Line Material is Unknown - Number of Service Connection,lead_gooseneck_serv_connects,lead_serv_line_serv_connects,"Lead only from Water Main to Property line, Curb or Shut-Off",lead_btwn_shutoff_house,owner_btwn_watermain_shutoff,"Ownership from curb, propertly line, or shut-off to home",e_r_leadportion,e_r_slmat,e_r_lead_gooseneck,E or R - Entire Service Line is Lead from the Water Main to home,e_r_lead_maintoshutoff,e_r_shutofftohouse,e_r_num_serv_connects,e_r_tot_sl_w_lead,conf_rec_no_lead,conf_rec_mat_unk,conf_rec_lead_gooseneck,conf_rec_lead_servline,conf_rec_lead_btwn_watermain_shutoff,conf_rec_lead_btw_shutoff_house,Confidence in Records - Total Number of Service Connection,conf_rec_tot_num_serv_lines_w_lead,_merge
190,East Washington Rural Water,Yes,0,0%,Estimated,"P.O. Box 401, Salem, IN 47167",38.605613,-86.101089,3383,0.003,IN5288002,IN5288002,EAST WASHINGTON RURAL WATER,3600.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,10.0,10.0,10.0,10.0,10.0,5.0,10.0,8.0,both
191,Eastern Bartholomew Water,Yes,No response,Unknown,Unknown,"P.O. Box 487, Taylorsville, IN 47280",39.295764,-85.949615,5249,0.005,IN5203004,IN5203004,EASTERN BARTHOLOMEW WATER,5180.0,,3885.0,1295.0,,,,,P,R,R,E,,,,,,,10.0,10.0,,,,,,,both
192,Eastern Heights Utilities,Yes,1127,16.42%,Recorded,"P.O. Box 8, Bloomfield, IN 47424",39.027588,-86.937035,6862,0.0025,IN5228003,IN5228003,EASTERN HEIGHTS UTILITIES,6864.0,1127.0,5735.0,0.0,1127.0,2.0,0.0,0.0,P,R,R,,E,R,E,E,R,R,6.0,,5.0,7.0,4.0,4.0,10.0,6.0,both
193,Eaton Water Works,No,No response,Unknown,Unknown,"600 East Harris Street, Eaton, IN 47338",40.342764,-85.349784,642,Unknown,IN5218006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
194,Edgewood Water Department,No,No response,Unknown,Unknown,"3405 Nichol Avenue, Anderson, IN 46011",40.100968,-85.73209,915,Unknown,IN5248006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
195,Edinburgh Water Utility,Yes,300,15.86%,Estimated,"107 South Holland Street Box 65, Edinburgh, IN 46124",39.353907,-85.965078,1892,0.0078,IN5241002,IN5241002,EDINBURGH WATER UTILITY,1891.0,300.0,1182.0,409.0,300.0,0.0,0.0,0.0,M,R,R,E,E,E,E,E,R,E,10.0,9.0,7.0,9.0,8.0,10.0,10.0,7.0,both
196,Edwardsport Water Utility,Yes,0,0%,Recorded,"4 Julius P.O. Box 275, Freelandville, IN 47535",38.860879,-87.302772,191,Unknown,IN5242005,IN5242005,EDWARDSPORT WATER UTILITY,0.0,0.0,,191.0,0.0,0.0,0.0,0.0,,,,,R,R,R,R,R,R,,,1.0,1.0,1.0,1.0,1.0,1.0,both
197,Edwardsville Water Corporation,Yes,0,0%,Recorded,"545 Maplewood Boulevard, New Albany, IN 47151",38.283555,-85.911347,3977,0.0019,IN5222001,IN5222001,EDWARDSVILLE WATER CORPORATION,4100.0,0.0,4100.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
198,Elberfeld Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 37, Elberfeld, IN 47613",38.159767,-87.448348,723,Unknown,IN5287003,IN5287003,ELBERFELD WATER DEPARTMENT,696.0,,,696.0,,,,,P,R,,E,,,,,,,,1.0,,,,,,,both
199,Elkhart Mobile Home Park,Yes,No response,Unknown,Unknown,"29200 County Road 20 West, Elkhart, IN 46517",41.658586,-86.026386,76,Unknown,IN5220007,IN5220007,ELKHART MOBILE HOME PARK,75.0,,,75.0,,,,,P,R,,E,,,,,R,,,10.0,,,,,10.0,,both
200,Elkhart Public Works And Utilities,Yes,145,0.82%,Unknown,"1201 South Nappanee Street, Elkhart, IN 46516",41.676487,-86.004065,17577,0.0112,IN5220008,IN5220008,ELKHART PUBLIC WORKS AND UTILITIES,20260.0,145.0,12025.0,8090.0,0.0,,145.0,,R,R,R,R,E,,R,,,,10.0,10.0,10.0,,10.0,,,,both
201,Ellettsville Water Works,Yes,0,0%,Recorded,"P.O. Box 8, Ellettsville, IN 47429",39.233937,-86.624297,4981,0.0025,IN5253004,IN5253004,ELLETTSVILLE WATER WORKS,4861.0,0.0,4861.0,0.0,0.0,0.0,0.0,0.0,P,R,R,E,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,both
202,Ellis Water Company Inc,Yes,0,0%,Unknown,"P.O. Box 291, Linton, IN 47441",39.034767,-87.165846,1347,Unknown,IN5228001,IN5228001,"ELLIS WATER COMPANY, INC.",1800.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,,,,,10.0,,10.0,,,,both
203,Elnora Water Works,No,No response,Unknown,Unknown,"P.O. Box 336 426 South Odon Street, Elnora, IN 47529",38.875801,-87.086442,265,Unknown,IN5214003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
204,Elwood Water & Sewage,Yes,270,7.68%,Estimated,"1505 South B Street, Elwood, IN 46036-0018",40.274744,-85.840545,3516,0.004,IN5248007,IN5248007,ELWOOD WATER & SEWAGE,3514.0,270.0,1145.0,2099.0,270.0,0.0,0.0,0.0,M,R,,,E,E,E,E,,E,3.0,3.0,3.0,8.0,6.0,8.0,9.0,3.0,both
205,English Water Works,Yes,0,0%,Unknown,"P.O. Box 258, English, IN 47118",38.353806,-86.442849,328,Unknown,IN5213002,IN5213002,ENGLISH WATER WORKS,280.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,M,R,R,R,R,R,R,R,,,10.0,10.0,10.0,10.0,10.0,10.0,,,both
206,Etna Green Water Department,Yes,34,12.36%,Estimated,"P.O. Box 183, Etna Green, IN 46524",41.278934,-86.046109,275,Unknown,IN5243003,IN5243003,ETNA GREEN WATER DEPARTMENT,234.0,34.0,200.0,,34.0,,,,M,R,E,,E,,,,E,E,8.0,,8.0,,,,8.0,8.0,both
207,Evansville Water Utility,Yes,1300,2.17%,Estimated and Recorded,"2519 Vogel Road, Evansville, IN 47711",37.988214,-87.518081,60000,0.002,IN5282002,IN5282002,EVANSVILLE WATER UTILITY,60000.0,1300.0,58700.0,0.0,50.0,0.0,1250.0,0.0,P,R,E and R,E and R,E and R,E and R,E and R,E and R,E and R,E and R,9.0,7.0,2.0,7.0,6.0,7.0,10.0,5.0,both
208,Everton Water Corporation,Yes,No response,Unknown,Unknown,"5471 South State Road 1, Connersville, IN 47331",39.563092,-85.090129,775,Unknown,IN5221002,IN5221002,EVERTON WATER CORPORATION,798.0,,798.0,,0.0,0.0,0.0,0.0,P,R,E,,E,E,E,E,E,,8.0,,8.0,8.0,8.0,8.0,8.0,,both
209,Fairmount Water Works,No,No response,Unknown,Unknown,"214 West Washington Street, Fairmount, IN 46928-1955",40.415755,-85.652415,1160,Unknown,IN5227005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
210,Fairview Park Water Utilities,Yes,No response,Unknown,Unknown,"420 East 3rd Street P.O. Box 312, Clinton, IN 47842",39.68313,-87.408881,640,Unknown,IN5283006,IN5283006,FAIRVIEW PARK WATER UTILITIES,630.0,,630.0,,,,,,M,R,E,,,,,,E,,9.0,,,,,,9.0,,both
211,Fairway Regional Water District,No,No response,Unknown,Unknown,"617 East 113th Place, Crown Point, IN 46307",41.411996,-87.328225,84,Unknown,IN5245009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
212,Farmland Municipal Water Works,Yes,No response,Unknown,Unknown,"P.O. Box 336, Farmland, IN 47340",40.187822,-85.127468,670,Unknown,IN5268002,IN5268002,FARMLAND MUNICIPAL WATER WORKS,660.0,,,660.0,,0.0,,,M,R,,,,E,,,,,,,,10.0,,,,,both
213,Fawn River Crossing,Yes,0,0%,Recorded,"P.O. Box 270, Lagrange, IN 46761",41.641717,-85.416647,14,Unknown,IN5244001,IN5244001,FAWN RIVER CROSSING,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,R,R,R,R,R,R,R,R,R,R,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,both
214,Fayette Township Water Association,No,No response,Unknown,Unknown,"10300 South 75 West, Clinton, IN 47842",39.733528,-87.477798,834,Unknown,IN5284002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
215,FCI & FPC - Terre Haute,Yes,No response,Unknown,Estimated,"4200 Bureau Road North, Terre Haute, IN 47808",39.414293,-87.451288,15,Unknown,IN5284018,IN5284018,FCI & FPC - TERRE HAUTE,15.0,,15.0,,,,,,P,P,E,E,E,E,E,E,,E,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,both
216,Ferdinand Water Department,No,No response,Unknown,Unknown,"513 West 5th Street P.O. Box 7, Ferdinand, IN 47532",38.22097,-86.867226,965,Unknown,IN5219004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
217,Finch Newton Water Inc,No,No response,Unknown,Unknown,"P.O. Box 115, Chrisney, IN 47611-0115",38.014773,-87.036386,710,Unknown,IN5274003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
218,Flora Water Works,No,No response,Unknown,Unknown,"4 East Main Street, Flora, IN 46929",40.548104,-86.523737,995,Unknown,IN5208003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
219,Floyds Knobs Water Company Inc,Yes,0,0%,Unknown,"7329 Voyles Road, Greenville, IN 47124",38.379554,-85.995005,2291,0.0064,IN5222002,IN5222002,"FLOYDS KNOBS WATER COMPANY, INC.",2240.0,0.0,2240.0,0.0,0.0,,0.0,,P,R,E,E,E,,E,,,,10.0,10.0,10.0,,10.0,,,,both
220,Forest Oaks Mhc LLC,No,No response,Unknown,Unknown,"2503 Chicago Street Suite 4, Valaparaiso, IN 46304",41.472592,-87.029707,228,Unknown,IN5264003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
221,Fort Branch Water Department,Yes,No response,Unknown,Unknown,"P. O. Box 40, Fort Branch, IN 47648-0040",38.238203,-87.560846,1407,0.031,IN5226001,IN5226001,FORT BRANCH WATER DEPARTMENT,1400.0,,1300.0,100.0,,,,,M,R,E,E,,,,,E,,7.0,5.0,,,,,,,both
222,Fort Wayne - 3 Rivers Filtration Plant,Yes,28000,28.98%,Estimated,"1100 Griswold Drive, Fort Wayne, IN 46805-4100",41.086406,-85.130029,96618,0.12,IN5202020,IN5202020,FORT WAYNE - 3 RIVERS FILTRATION PLANT,101000.0,28000.0,66000.0,7000.0,0.0,27000.0,0.0,1000.0,P,R,E,E,E,E,E,E,E,E,7.0,3.0,8.0,6.0,8.0,7.0,8.0,6.0,both
223,Fortville Water Works,No,No response,Unknown,Unknown,"714 East Broadway, Fortville, IN 46040-1557",39.934374,-85.840695,1700,Unknown,IN5230003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
224,Fountain City Water Works,Yes,0,0%,Estimated,"P.O. Box 312, Fountain City, IN 47341",39.955603,-84.917462,344,Unknown,IN5289006,IN5289006,FOUNTAIN CITY WATER WORKS,339.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,M,Some M and some R,E,E,E,E,E,E,R,E,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,both
225,Fowler Water Works,No,No response,Unknown,Unknown,"307 East 5th Street, Fowler, IN 47944",40.617866,-87.320443,1119,Unknown,IN5204006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
226,Francesville Water Department,No,No response,Unknown,Unknown,"P.O. Box 616, Francesville, IN 47946",40.985317,-86.879461,453,Unknown,IN5266001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
227,Francisco Water Department,No,No response,Unknown,Unknown,"P.O. Box 66, Francisco, IN 47649-0066",38.332269,-87.445295,372,Unknown,IN5226002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
228,Frankfort Water Works,Yes,1500,21.74%,Estimated,"2105 West Armstrong Road, Frankfort, IN 46041",40.266839,-86.539305,6900,0.012,IN5212003,IN5212003,FRANKFORT WATER WORKS,7000.0,1500.0,5000.0,500.0,1500.0,0.0,0.0,0.0,M,R,E,E,E,E,E,E,E,E,6.0,3.0,5.0,8.0,8.0,7.0,7.0,5.0,both
229,Franklin County Water Association,Yes,0,0%,Unknown,"9112 State Road 1, Brookville, IN 47012",39.436259,-85.019425,3607,0.024,IN5224002,IN5224002,FRANKLIN COUNTY WATER ASSOCIATION,3406.0,0.0,3406.0,0.0,0.0,0.0,0.0,0.0,P,R,R,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
230,Frankton Water Works,No,No response,Unknown,Unknown,"P.O. Box 286, Frankton, IN 46044",40.223092,-85.780152,921,Unknown,IN5248008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
231,Freelandville Water Association,Yes,0,0%,Recorded,"P.O. Box 321 A, Freelandville, IN 47535",38.865036,-87.305652,440,Unknown,IN5242006,IN5242006,FREELANDVILLE WATER ASSOCIATION,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,,,R,,R,R,R,R,R,R,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,both
232,Fremont Water Department,Yes,10,1.16%,Unknown,"P.O. Box 602, Fremont, IN 46737",41.730883,-84.93274,862,Unknown,IN5276006,IN5276006,FREMONT WATER DEPARTMENT,30.0,10.0,20.0,0.0,0.0,0.0,0.0,10.0,M,R,E,E,E,E,E,E,,,10.0,9.0,10.0,10.0,9.0,9.0,,,both
233,Galveston Water Works,No,No response,Unknown,Unknown,"P.O. Box 597, Galveston, IN 46932",40.578928,-86.190272,639,Unknown,IN5209003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
234,Garden City Mobile Home Park,No,No response,Unknown,Unknown,"4911 Rockville Road, Indianapolis IN 46241",39.763194,-86.243989,47,Unknown,IN5203005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
235,Garrett Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 332, Garrett, IN 46738",41.349494,-85.135527,2250,0.007,IN5217004,IN5217004,GARRETT WATER UTILITY,2250.0,,,2250.0,,,,,M,R,,,,,,,,,,,,,,,,,both
236,Gas City Water Department,Yes,100,3.94%,Unknown,"200 East North ""A"" Street, Gas City, IN 46933",40.488842,-85.613099,2540,0.001,IN5227006,IN5227006,GAS CITY WATER DEPARTMENT,2400.0,100.0,2300.0,,100.0,,,,M,P,E and R,,E,,,,,,10.0,,7.0,,,,,,both
237,Gaston Water Works,No,No response,Unknown,Unknown,"P.O. Box 186, Gaston, IN 47342",40.313931,-85.500528,323,Unknown,IN5218008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
238,Gatewood Estates,Yes,No response,Unknown,Unknown,"2403 US Highway 31 Lot 1A, Plymouth, IN 46563",41.44359,-86.318322,75,Unknown,IN5250012,IN5250012,GATEWOOD ESTATES,82.0,,82.0,,,,,,P,P,R,,,,,,,,10.0,,,,,,,,both
239,Geneva Water Department,Yes,No response,Unknown,Estimated,"1866 East State Road 218, Geneva, IN 46711",40.655108,-85.037212,575,Unknown,IN5201003,IN5201003,GENEVA WATER DEPARTMENT,575.0,,288.0,287.0,,,,,U,U,E,E,E,E,E,E,E,E,8.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,both
240,Gentryville Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 261, Gentryville, IN 47537",38.104218,-87.033053,640,Unknown,IN5274004,IN5274004,GENTRYVILLE WATER UTILITY,620.0,,620.0,620.0,0.0,0.0,0.0,0.0,P,R,R,E,E,E,E,E,E,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,both
241,George Ade Memorial Health Care Center,Yes,No response,Unknown,Unknown,"3623 East State Road 16, Brook, IN 47922",40.864737,-87.323209,1,Unknown,IN5256014,IN5256014,GEORGE ADE MEMORIAL HEALTH CARE CENTER,1.0,,,,,,,,P,P,,,,,,,,,,,,,,,,,both
242,Georgetown Water Department,No,No response,Unknown,Unknown,"P.O. Box 127, Georgetown, IN 47122",38.294512,-85.975524,1300,Unknown,IN5222003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
243,German Township Water District Inc,Yes,0,0%,Recorded,"2636 West Boonville New Harmony RE, Evansville, IN 47720",38.098387,-87.602553,4703,0.0031,IN5282003,IN5282003,GERMAN TOWNSHIP WATER DISTRICT INC.,4651.0,0.0,4651.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
244,Gibson Water Inc,Yes,0,0%,Estimated,"517 East 1250 South, Haubstadt, IN 47639",38.173478,-87.559104,1740,0.0032,IN5226009,IN5226009,"GIBSON WATER, INC.",1720.0,0.0,1720.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,E,E,E,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,both
245,Glen Eden Association,Yes,0,0%,Recorded,"175 Lane 200 Lake James, Angola, IN 46703",41.692287,-85.015358,48,Unknown,IN5276041,IN5276041,GLEN EDEN ASSOCIATION,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,R,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
246,Glenn Hills Non-Profit Corp,Yes,No response,Unknown,Unknown,"3908 South Franks Lane, Selma, IN 47383-9730",40.157045,-85.29758,30,Unknown,IN5218020,IN5218020,GLENN HILLS NON-PROFIT CORP.,30.0,,30.0,,,,,,P,R,R,,,,,,R,,10.0,,,,,,10.0,,both
247,Glenwood Water Works,Yes,0,0%,Unknown,"P.O. Box 102, Glenwood, IN 46133",39.625881,-85.300244,122,Unknown,IN5270002,IN5270002,GLENWOOD WATER WORKS,150.0,0.0,145.0,5.0,0.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,,,9.0,9.0,8.0,9.0,8.0,9.0,,,both
248,Golden Acres Mobile Home Park,No,No response,Unknown,Unknown,"3184 North 100 East, Angola, IN 46703",41.691244,-84.967219,41,Unknown,IN5276036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
249,Golden Pebbles Estates,No,No response,Unknown,Unknown,"3052 North Gary Street, New Castle, IN 47362",39.976996,-85.394166,150,Unknown,IN5233002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
250,Goodland Water Works,No,No response,Unknown,Unknown,"P.O. Box 269, Goodland, IN 47948-0269",40.763373,-87.293633,494,Unknown,IN5256003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
251,Goshen Water Utility,Yes,1600,15.37%,Estimated,"308 North 5th Street, Goshen, IN 46528-2802",41.589721,-85.83235,10407,0.0024,IN5220009,IN5220009,GOSHEN WATER UTILITY,10637.0,1600.0,10637.0,1348.0,1600.0,0.0,0.0,0.0,P,R,E,E,E,E,E,E,E,E,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,both
252,Gosport Water Utility,Yes,No response,Unknown,Unknown,"Town Hall P.O. Box 146, Gosport, IN 47433",39.349647,-86.664334,372,Unknown,IN5260003,IN5260003,GOSPORT WATER UTILITY,362.0,,146.0,216.0,,,,,M,R,,,,,,,,,10.0,10.0,,,,,,,both
253,Grabill Water Works,Yes,0,0%,Unknown,"P.O. Box 321, Grabill, IN 46741",41.210883,-84.966911,500,Unknown,IN5202006,IN5202006,GRABILL WATER WORKS,560.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,M,R,E,R,R,R,R,R,E,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
254,Grandview Municipal Water Utility,Yes,0,0%,Unknown,"P.O. Box 638, Grandview, IN 47615",37.933663,-86.981106,322,Unknown,IN5274005,IN5274005,GRANDVIEW MUNICIPAL WATER UTILITY,324.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,M,R,R,,,,,,R,,8.0,,,,,,8.0,,both
255,Grantsburg Rural Water Company,Yes,0,0%,Unknown,"3678 South Atkins Lane, Grantsburg, IN 47123",38.281269,-86.471697,100,Unknown,IN5213003,IN5213003,GRANTSBURG RURAL WATER COMPANY,99.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,,,10.0,10.0,10.0,10.0,10.0,10.0,,,both
256,Grayfox Public Water Supply,Yes,0,0%,Recorded,"7405 Cinereal Court, Roanoke, IN 46783",41.015222,-85.332157,47,Unknown,IN5202030,IN5202030,GRAYFOX PUBLIC WATER SUPPLY,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,P,R,E,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
257,Green Acres Mobile Home Park,No,No response,Unknown,Unknown,"800 IN-212, Michigan City, IN 46360",41.718824,-86.823744,227,Unknown,IN5243006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
258,Greencastle Department Of Water,No,No response,Unknown,Unknown,"P.O. Box 288, Greencastle, IN 46135",39.64449,-86.864732,3802,Unknown,IN5267004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
259,Greenfield Water Utility,Yes,No response,Unknown,Estimated,"451 Meek Street, Greenfield, IN 46140",39.780987,-85.766264,7677,0.005,IN5230004,IN5230004,GREENFIELD WATER UTILITY,8044.0,,7698.0,346.0,,0.0,,0.0,M,M and R,E,E,E,E,E,E,R,E,8.0,,1.0,5.0,1.0,5.0,10.0,1.0,both
260,Greensburg Municipal Water Works,Yes,0,0%,Recorded,"1105 North Ireland Street, Greensburg, IN 47240",39.347456,-85.489235,4796,0.0072,IN5216002,IN5216002,GREENSBURG MUNICIPAL WATER WORKS,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,both
261,Greentown Municipal Water,Yes,No response,Unknown,Unknown,"P.O. Box 247, Greentown, IN 46936",40.478094,-85.966653,980,0.018,IN5234006,IN5234006,GREENTOWN MUNICIPAL WATER,900.0,,900.0,,,,,,P,R,E,,,,,,,,9.0,,,,,,,,both
262,Greenville Water Utility,Yes,No response,Unknown,Unknown,"P.O. Box 188, Greenville, IN 47124",38.372564,-85.986359,1815,0.0015,IN5222004,IN5222004,GREENVILLE WATER UTILITY,1786.0,,100.0,1686.0,,,,,M,R,E,E,,,,,R,,5.0,5.0,,,,,8.0,,both
263,Griffith Water Department,Yes,0,0%,Estimated,"111 North Broad Street, Griffith, IN 46319",41.523314,-87.42724,5796,0.0048,IN5245019,IN5245019,GRIFFITH WATER DEPARTMENT,5596.0,0.0,5596.0,,0.0,0.0,0.0,,R,R,E,E,E,E,E,E,E,E,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,both
264,Hagerstown Mobile Home Court,No,No response,Unknown,Unknown,"472 Jones Road Lot 18, Hagerstown, IN 47346",39.91917,-85.152355,37,Unknown,IN5289007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
265,Hagerstown Municipal Water Works,Yes,25,2.69%,Estimated,"49 East College Street, Hagerstown, IN 47346",39.911489,-85.161009,930,Unknown,IN5289008,IN5289008,HAGERSTOWN MUNICIPAL WATER WORKS,900.0,25.0,800.0,75.0,25.0,0.0,0.0,0.0,M,R,R,E,E,E,E,E,R,E,6.0,5.0,4.0,5.0,5.0,5.0,8.0,5.0,both
266,Hamilton Estates,No,No response,Unknown,Unknown,"921 Ironwood Drive, Carmel, IN 46033",39.990378,-86.09984,44,Unknown,IN5229026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
267,Hamilton Grove,No,No response,Unknown,Unknown,"31869 Chicago Trail, New Carlisle, IN 46552-9639",41.733706,-86.484886,26,Unknown,IN5271024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
268,Hamilton Water Department,Yes,0,0%,Unknown,"900 South Wayne Street P.O. Box 249, Hamilton, IN 46742-0249",41.523278,-84.917231,985,Unknown,IN5276023,IN5276023,HAMILTON WATER DEPARTMENT,980.0,0.0,980.0,,,,,,M,R,R,,,,,,,,8.0,,,,,,,,both
269,Hamlet Water Works,No,No response,Unknown,Unknown,"P.O. Box 181, Hamlet, IN 46532",41.380954,-86.582019,347,Unknown,IN5275001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
270,Hammond Water Works Department,Yes,No response,Unknown,Unknown,"6505 Columbia Avenue, Hammond, IN 46320",41.59541,-87.499737,24115,0.0094,IN5245020,IN5245020,HAMMOND WATER WORKS DEPARTMENT,24148.0,,,24148.0,,,,,R,R,,,,,,,,,,,,,,,,,both
271,Hanover College,No,No response,Unknown,Unknown,"359 East LaGrange Road, Hanover, IN 47243",38.720999,-85.467447,109,Unknown,IN5239010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
272,Hanover Water Department,No,No response,Unknown,Unknown,"11 Madison Avenue P.O. Box 288, Hanover, IN 47243",38.714164,-85.467087,1125,Unknown,IN5239003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
273,Harris Hills Mobile Home Park,No,No response,Unknown,Unknown,"154 Chariot Drive, Anderson, IN 46013",40.079371,-85.699088,19,Unknown,IN5229011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
274,Hartford City Water Works,No,No response,Unknown,Unknown,"700 North Walnut Street, Hartford City, IN 47348",40.456838,-85.369412,2508,Unknown,IN5205002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
275,Haubstadt Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 365 101 South Main Street, Haubstadt, IN 47639-0365",38.205007,-87.574821,868,0.0188,IN5226003,IN5226003,HAUBSTADT WATER DEPARTMENT,841.0,,841.0,,,,,,M,R,R,,,,,,R,,10.0,,,,,,10.0,,both
276,Hayden Water Association,Yes,1102,100.00%,Unknown,"6970 West US Highway 50, North Vernon, IN 47265",38.976092,-85.739772,952,Unknown,IN5240005,IN5240005,HAYDEN WATER ASSOCIATION,1102.0,1102.0,,,,,1102.0,,P,R,,,,,R,,,,,,,,8.0,,,,both
277,Hazelton Water Department,No,No response,Unknown,Unknown,"107 North Main Street, Hazleton, IN 47640",38.489045,-87.542875,147,Unknown,IN5226004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
278,Hebron Water Department,Yes,No response,Unknown,Unknown,"P.O. Box 478, Hebron, IN 46341",41.318648,-87.200309,1376,0.0047,IN5264009,IN5264009,HEBRON WATER DEPARTMENT,1296.0,,1296.0,,,,,,M,R,R,,,,,,,,9.0,,,,,,,,both
279,Heritage Hills Campground,Yes,0,0%,Recorded,"6055 Hertel Road, Brookville, IN 47012",39.385679,-85.045161,864,Unknown,IN5281029,IN5281029,HERITAGE HILLS CAMPGROUND,850.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,P,R,R,R,R,R,R,R,R,R,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,both
280,Heritage Park Apartments,No,No response,Unknown,Unknown,"635 Ferry Street, Lafayette, IN 47901",40.419825,-86.8891,24,Unknown,IN5237008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
281,Heritage Pointe,No,No response,Unknown,Unknown,"P.O. Box 326 801 Huntington Avenue, Warren, IN 46792",40.687314,-85.4299,1,Unknown,IN5235011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
